gate,component,rtl_module,data_width,address_width,address_range,ports,rtl_storage,complete_partition,bram_inferred_by_summary,path,evidence_kind,notes
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_uop_inst_RAM_AUTO_1R1W,32,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_uop_inst_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_uop_rename_dst_rtype_RAM_AUTO_1R1W,2,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_uop_rename_dst_rtype_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_valid_RAM_AUTO_1R1W,1,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_valid_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,other,boom_core_top_decode_module_state_decode_dec_uops_rename_prs1_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_decode_module_state_decode_dec_uops_rename_prs1_RAM_AUTO_0R0W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_decode_module_state_decode_dec_uops_rename_prs1_RAM_AUTO_0R0W_ram,1,1,2,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_decode_module_state_decode_dec_uops_rename_prs1_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_exc_cause_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_exc_cause_RAM_AUTO_0R0W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_exc_cause_RAM_AUTO_0R0W_ram,64,1,2,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_exc_cause_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_result_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_result_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_result_RAM_AUTO_1R1W_ram,64,1,2,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_result_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_csr_addr_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_csr_addr_RAM_AUTO_0R0W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_csr_addr_RAM_AUTO_0R0W_ram,16,1,2,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_csr_addr_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_inst_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_inst_RAM_AUTO_0R0W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_inst_RAM_AUTO_0R0W_ram,32,1,2,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_inst_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_uopc_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_uopc_RAM_AUTO_0R0W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_execute_module_state_execute_alu_results_uop_uopc_RAM_AUTO_0R0W_ram,8,1,2,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_execute_module_state_execute_alu_results_uop_uopc_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W_ram,16,3,8,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_debug_pc_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_debug_pc_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_debug_pc_RAM_AUTO_1R1W_ram,64,3,8,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_debug_pc_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_inst_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_inst_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_inst_RAM_AUTO_1R1W_ram,32,3,8,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_inst_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_uopc_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_uopc_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_uop_uopc_RAM_AUTO_1R1W_ram,8,3,8,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_uop_uopc_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W,,,,1R1W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,issue_queue,boom_core_top_issue_module_state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W_ram,1,3,8,1R1W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W_ram.v,RTL_INSTANCE,Integer issue queue field storage
gate3_2,other,boom_core_top_issue_module_temp_uop_csr_addr_RAM_AUTO_1R1W,16,3,8,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_temp_uop_csr_addr_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_issue_module_temp_uop_debug_pc_RAM_AUTO_1R1W,64,3,8,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_temp_uop_debug_pc_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_issue_module_temp_uop_inst_RAM_AUTO_1R1W,32,3,8,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_temp_uop_inst_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_issue_module_temp_uop_uopc_RAM_AUTO_1R1W,8,3,8,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_temp_uop_uopc_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,other,boom_core_top_issue_module_temp_valid_RAM_AUTO_1R1W,1,3,8,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_issue_module_temp_valid_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_address_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_address_RAM_AUTO_0R0W.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_address_RAM_AUTO_0R0W_ram,64,3,8,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_address_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_rob_idx_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_rob_idx_RAM_AUTO_0R0W.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_rob_idx_RAM_AUTO_0R0W_ram,8,3,8,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_rob_idx_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_valid_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_valid_RAM_AUTO_0R0W.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_ldq_valid_RAM_AUTO_0R0W_ram,1,3,8,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_ldq_valid_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_stq_mask_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_stq_mask_RAM_AUTO_0R0W.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,lsu_queue,boom_core_top_lsu_module_state_lsu_stq_mask_RAM_AUTO_0R0W_ram,5,3,8,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_lsu_module_state_lsu_stq_mask_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Minimal LSU queue field storage
gate3_2,rename_map_snapshots,boom_core_top_rename_module_state_rename_int_map_table_br_snapshots_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_rename_module_state_rename_int_map_table_br_snapshots_RAM_AUTO_0R0W.v,RTL_INSTANCE,Gate 3.3 active snapshot RAM; check port suffix for access structure
gate3_2,rename_map_snapshots,boom_core_top_rename_module_state_rename_int_map_table_br_snapshots_RAM_AUTO_0R0W_ram,8,8,256,0R0W_ram,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_rename_module_state_rename_int_map_table_br_snapshots_RAM_AUTO_0R0W_ram.v,RTL_INSTANCE,Gate 3.3 active snapshot RAM; check port suffix for access structure
gate3_2,rob,boom_core_top_rob_allocate_state_rob_entries_unsafe_RAM_AUTO_0R0W,,,,0R0W,unknown,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_rob_allocate_state_rob_entries_unsafe_RAM_AUTO_0R0W.v,RTL_INSTANCE,ROB entry field storage
