path,size_bytes,category,tracked_files,dirty_files,accepted_reference,running_process_reference,reproducible,decision,reason
"/home/lab_726/boom/hls_boom/test_merged",46342144,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_min",372736,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_min2",19316736,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_minstate",24875008,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N1",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N10",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N2",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N3",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N4",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N5",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N6",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N7",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N8",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_N9",1241088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_noexec",20836352,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_nolto2",21250048,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_obs_synth",674222080,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/test_opt",21143552,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_realstep",21254144,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_simplified",21143552,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_single",4096,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_sourced",21250048,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_topalone",18780160,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/synth_mul_top",26390528,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/xsim.dir",765952,XSIM_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/scripts/__pycache__",36864,CACHE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/tb/differential/gate5_2_r2_build",4096,TEST_SOURCE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/tb/differential/gate5_2_r2_csim_build",5939200,TEST_SOURCE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/tb/programs/b3i_packet/build",155648,PROGRAM_BINARY,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/tb/programs/boom_reference/build",53248,PROGRAM_BINARY,12,0,true,false,true,KEEP,"contains tracked files"
"/home/lab_726/boom/hls_boom/tb/programs/rvc_fetch/build",274432,PROGRAM_BINARY,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
